chapter_number,chapter_title,article_number,article_title,content
,,1,Phạm vi điều chỉnh,"1. Thông tư này quy định về tiêu chuẩn sức khỏe, việc khám sức khỏe đối với người lái xe, người điều khiển xe máy chuyên dùng; việc khám sức khỏe định kỳ đối với người hành nghề lái xe ô tô; cơ sở dữ liệu về sức khỏe của người lái xe, người điều khiển xe máy chuyên dùng.
2. Thông tư này không áp dụng đối với người điều khiển xe gắn máy."
,,2,"Tiêu chuẩn sức khỏe của người lái xe, người điều khiển xe máy chuyên dùng","1. Tiêu chuẩn sức khỏe của người lái xe, người điều khiển xe máy chuyên dùng quy định tại Phụ lục I ban hành kèm theo Thông tư này.
2. Tiêu chuẩn sức khỏe của người lái xe, người điều khiển xe máy chuyên dùng chia theo 3 nhóm, cụ thể như sau:
a) Nhóm 1: Áp dụng với trường hợp khám sức khỏe để cấp giấy phép lái xe hạng A1, B1 và người điều khiển xe máy chuyên dùng;
b) Nhóm 2: Áp dụng với trường hợp khám sức khỏe để cấp giấy phép lái hạng A và B;
c) Nhóm 3: Áp dụng với trường hợp khám sức khỏe để cấp giấy phép lái hạng C1, C, D1, D2, D, BE, C1E, CE, D1E, D2E VÀ DE.
3. Người có giấy phép lái xe đã được cấp trước ngày 01 tháng 01 năm 2025 nếu có nhu cầu đổi, cấp lại giấy phép lái xe từ hạng A1 sang giấy phép lái xe hạng A theo quy định tại điểm a khoản 3 Điều 89 Luật Trật tự, an toàn giao thông đường bộ: Áp dụng tiêu chuẩn sức khỏe Nhóm 1 để khám sức khỏe.
4. Việc khám sức khỏe đối với người khuyết tật đề nghị cấp giấy phép lái xe hạng A1 hoặc cấp giấy phép lái xe hạng B quy định tại khoản 2 Điều 57 Luật Trật tự, an toàn giao thông đường bộ: Áp dụng tiêu chuẩn sức khỏe quy định tại Phụ lục I ban hành kèm theo Thông tư này để khám sức khỏe nhưng không phải khám chuyên khoa Cơ Xương Khớp."
,,3,"Khám sức khỏe đối với người lái xe, người điều khiển xe máy chuyên dùng; khám sức khỏe định kỳ đối với người hành nghề lái xe ô tô","1. Quy trình khám sức khỏe đối với người lái xe, người điều khiển xe máy chuyên dùng và khám sức khỏe định kỳ đối với người hành nghề lái xe ô tô thực hiện theo quy định tại Điều 35 Thông tư số 32/2023/TT-BYT ngày 31 tháng 12 năm 2023 của Bộ trưởng Bộ Y tế quy định chi tiết một số điều của Luật Khám bệnh, chữa bệnh (sau đây gọi là Thông tư số 32/2023/TT-BYT).
2. Nội dung khám sức khỏe của người lái xe, người điều khiển xe máy chuyên dùng theo quy định tại Phụ lục II ban hành kèm theo Thông tư này.
3. Nội dung khám sức khỏe định kỳ đối với người hành nghề lái xe ô tô:
a) Theo quy định tại khoản 3 Điều 36 Thông tư số 32/2023/TT-BYT; đối với nội dung khám tâm thần thực hiện theo quy định tại mục 1 phần II Phụ lục II hành kèm theo Thông tư này;
b) Đối với người hành nghề lái xe là nữ khi khám sức khỏe định kỳ khám chuyên khoa phụ sản theo quy định tại khoản 4 Điều 36 Thông tư số 32/2023/TT-BYT;
c) Xét nghiệm ma túy và xét nghiệm nồng độ cồn.
4. Cấp và lưu giấy khám sức khỏe đối với người lái xe, người điều khiển xe máy chuyên dùng; sổ khám sức khỏe định kỳ đối với người hành nghề lái xe ô tô thực hiện theo quy định tại Điều 38 Thông tư số 32/2023/TT-BYT."
,,4,Hồ sơ khám sức khỏe,"1. Hồ sơ khám sức khỏe của người lái xe, người điều khiển xe máy chuyên dùng theo mẫu quy định tại Phụ lục II ban hành kèm theo Thông tư này.
2. Hồ sơ khám sức khỏe định kỳ đối với người hành nghề lái xe ô tô:
a) Thực hiện theo mẫu quy định tại điểm a khoản 4 Điều 34 Thông tư số 32/2023/TT-BYT;
b) Bổ sung nội dung hạng giấy phép lái xe vào mục 7 (nghề nghiệp)."
,,5,"Cơ sở dữ liệu về sức khỏe của người lái xe, người điều khiển xe máy chuyên dùng","Cấu trúc dữ liệu kết quả khám sức khỏe của người lái xe, người điều khiển xe máy chuyên dùng gồm các thông tin sau:
1. Phần Hành chính: Các thông tin theo quy định tại Quyết định số 06/QĐ-TTg ngày 06 tháng 01 năm 2022 của Thủ tướng Chính phủ phê duyệt Đề án phát triển ứng dụng dữ liệu về dân cư, định danh và xác thực điện tử phục vụ chuyển đổi số Quốc gia giai đoạn 2022 - 2025, tầm nhìn đến năm 2030 (Đề án 06).
2. Tên cơ sở khám bệnh, chữa bệnh thực hiện khám sức khỏe của người lái xe, người điều khiển xe máy chuyên dùng; khám sức khỏe định kỳ đối với người hành nghề lái xe; ngày khám sức khỏe.
3. Kết quả xét nghiệm ma túy.
4. Kết luận về tình trạng sức khỏe."
,,6,Chi phí khám sức khỏe cho người lái xe,"Chi phí khám sức khỏe đối với người lái xe, người điều khiển xe máy chuyên dùng thực hiện theo quy định tại Điều 33 Thông tư số 32/2023/TT-BYT."
,,7,Hiệu lực thi hành,"1. Thông tư này có hiệu lực kể từ ngày 01 tháng 01 năm 2025.
2. Thông tư liên tịch số 24/2015/TTLT-BYT-BGTVT ngày 28 tháng 8 năm 2015 của Bộ trưởng Bộ Y tế và Bộ trưởng Bộ Giao thông vận tải quy định về tiêu chuẩn sức khỏe của người lái xe, việc khám sức khỏe định kỳ đối với người lái xe ô tô và quy định về cơ sở y tế khám sức khỏe cho người lái xe hết hiệu lực kể từ ngày Thông tư này có hiệu lực thi hành."
,,8,Điều khoản tham chiếu,"Trường hợp các văn bản dẫn chiếu trong Thông tư này được thay thế hoặc sửa đổi, bổ sung thì thực hiện theo văn bản thay thế hoặc sửa đổi, bổ sung đó."
,,9,Điều khoản chuyển tiếp,"1. Giấy khám sức khỏe và sổ khám sức khỏe định kỳ của người lái xe được cấp trước ngày Thông tư này có hiệu lực thi hành được tiếp tục sử dụng theo thời hạn ghi trên giấy khám sức khỏe và sổ khám sức khỏe định kỳ của người lái xe theo quy định tại Thông tư liên tịch số 24/2015/TTLT-BYT-BGTVT ngày 28 tháng 8 năm 2015 của Bộ trưởng Bộ Y tế và Bộ trưởng Bộ Giao thông vận tải quy định về tiêu chuẩn sức khỏe của người lái xe, việc khám sức khỏe định kỳ đối với người lái xe ô tô và quy định về cơ sở y tế khám sức khỏe cho người lái xe.
2. Mẫu giấy khám sức khỏe của người lái xe ban hành tại Thông tư liên tịch số 24/2015/TTLT-BYT-BGTVT ngày 28 tháng 8 năm 2015 của Bộ trưởng Bộ Y tế và Bộ trưởng Bộ Giao thông vận tải quy định về tiêu chuẩn sức khỏe của người lái xe, việc khám sức khỏe định kỳ đối với người lái xe ô tô và quy định về cơ sở y tế khám sức khỏe cho người lái xe bản giấy đã in, được tiếp tục sử dụng và phải tuân thủ hướng dẫn ghi theo quy định tại Phụ lục II ban hành kèm theo Thông tư này. Trường hợp cơ sở in mới giấy khám sức khỏe phải tuân thủ mẫu theo quy định tại Phụ lục II ban hành kèm theo Thông tư này.
3. Mẫu sổ khám sức khỏe định kỳ của người lái xe ban hành tại Thông tư liên tịch số 24/2015/TTLT-BYT-BGTVT ngày 28 tháng 8 năm 2015 của Bộ trưởng Bộ Y tế và Bộ trưởng Bộ Giao thông vận tải quy định về tiêu chuẩn sức khỏe của người lái xe, việc khám sức khỏe định kỳ đối với người lái xe ô tô và quy định về cơ sở y tế khám sức khỏe cho người lái xe bản giấy đã in được tiếp tục sử dụng đến hết ngày 30 tháng 6 năm 2025 và ghi bổ sung nội dung quy định tại khoản 3 Điều 36 Thông tư số 32/2023/TT-BYT.
4. Cơ sở khám bệnh, chữa bệnh đang thực hiện khám sức khỏe lái xe trước ngày Thông tư này có hiệu lực thì tiếp tục thực hiện mà không phải công bố lại trừ các trường hợp theo quy định tại điểm c khoản 2 Điều 69 Nghị định số 96/2023/NĐ-CP ngày 30 tháng 12 năm 2023 của Chính phủ quy định chi tiết một số điều của Luật Khám bệnh, chữa bệnh.
5. Cơ sở khám bệnh, chữa bệnh đang thực hiện khám sức khỏe định kỳ cho người lái xe trước ngày Thông tư này có hiệu lực:
a) Trường hợp đã công bố đủ điều kiện khám sức khỏe định kỳ cho người lái xe trước ngày Thông tư này có hiệu lực: được thực hiện khám sức khỏe định kỳ cho người hành nghề lái xe ô tô theo quy định tại Thông tư này;
b) Trường hợp không đủ điều kiện khám chuyên khoa Răng Hàm Mặt, Da liễu, Ngoại khoa thì được phép ký hợp đồng với cơ sở khám bệnh, chữa bệnh để khám các chuyên khoa nêu trên. Từ ngày 01 tháng 01 năm 2026, cơ sở phải đáp ứng các điều kiện theo quy định tại Thông tư này."
,,10,Tổ chức thực hiện,"1. Cục Quản lý Khám, chữa bệnh chủ trì, phối hợp với các cơ quan, tổ chức liên quan chỉ đạo, kiểm tra, sơ kết, tổng kết việc thực hiện Thông tư này trên toàn quốc.
2. Sở Y tế các tỉnh, thành phố trực thuộc Trung ương; Y tế Bộ, ngành:
a) Chỉ đạo, hướng dẫn, kiểm tra, thanh tra, sơ kết, tổng kết việc thực hiện Thông tư này theo thẩm quyền quản lý;
b) Tổng hợp số liệu khám sức khỏe với người hành nghề lái xe ô tô thuộc thẩm quyền quản lý và gửi về Bộ Y tế (Cục Quản lý Khám, chữa bệnh) theo định kỳ hằng năm.
3. Cơ sở khám bệnh, chữa bệnh có trách nhiệm:
a) Báo cáo hoạt động khám sức khỏe đối với người lái xe, người điều khiển xe máy chuyên dùng; khám sức khỏe định kỳ đối với người hành nghề lái xe ô tô về cơ quan quản lý trực tiếp;
b) Thực hiện việc kết nối, chia sẻ dữ liệu khám sức khỏe với cơ sở dữ liệu về trật tự, an toàn giao thông đường bộ và các cơ sở dữ liệu khác theo quy định của pháp luật.
Trong quá trình thực hiện có khó khăn, vướng mắc, cơ quan, tổ chức, cá nhân phản ánh kịp thời về Bộ Y tế (Cục Quản lý Khám, chữa bệnh) để xem xét, giải quyết./.
PHỤ LỤC I
BẢNG TIÊU CHUẨN SỨC KHỎE CỦA NGƯỜI LÁI XE, NGƯỜI ĐIỀU KHIỂN XE MÁY CHUYÊN DÙNG
(Ban hành kèm theo Thông tư số 36/2024/TT-BYT ngày 16 tháng 11 năm 2024 của Bộ trưởng Bộ Y tế)
PHỤ LỤC II
MẪU GIẤY KHÁM SỨC KHỎE CỦA NGƯỜI LÁI XE, NGƯỜI ĐIỀU KHIỂN XE MÁY CHUYÊN DÙNG
(Ban hành kèm theo Thông tư số 36/2024/TT-BYT ngày 16 tháng 11 năm 2024 của Bộ trưởng Bộ Y tế)
MẪU GIẤY KHÁM SỨC KHỎE CỦA NGƯỜI LÁI XE, NGƯỜI ĐIỀU KHIỂN XE MÁY CHUYÊN DÙNG
* Lưu ý: Trường hợp đối tượng KSK có CCCD/CC gắn chíp hoặc có số định danh công dân đã thực hiện kết nối với cơ sở dữ liệu quốc gia về dân cư không cần ghi mục 2, mục 5, mục 6
I. TIỀN SỬ BỆNH CỦA ĐỐI TƯỢNG KHÁM SỨC KHỎE
1. Tiền sử gia đình:
Có ai trong gia đình ông (bà) mắc một trong các bệnh: truyền nhiễm, tim mạch, đái tháo đường, lao, hen phế quản, ung thư, động kinh, rối loạn tâm thần, bệnh khác:
a) Không □; b) Có □;
Nếu “có”, đề nghị ghi cụ thể tên bệnh: ......................................................................................
....................................................................................................................................................
....................................................................................................................................................
....................................................................................................................................................
....................................................................................................................................................
2. Tiền sử, bệnh sử bản thân: Ông (bà) đã/đang mắc bệnh, tình trạng bệnh nào sau đây không (Bác sỹ hỏi bệnh và đánh dấu X vào ô tương ứng)
Nếu “có”, đề nghị ghi cụ thể tên bệnh: ........................................................................................
.....................................................................................................................................................
3. Câu hỏi khác (nếu có):
Ông (bà) có đang điều trị bệnh gì không? Nếu có, hãy liệt kê các thuốc đang dùng và liều lượng:
................................................................................................................................................
................................................................................................................................................
Tôi xin cam đoan những điều khai trên đây hoàn toàn đúng với sự thật. Nếu sai tôi xin chịu trách nhiệm trước pháp luật.
II. KHÁM LÂM SÀNG
III. KHÁM CẬN LÂM SÀNG
IV. KẾT LUẬN (4)
................................................................................................................................................
................................................................................................................................................
................................................................................................................................................
(Giấy khám sức khỏe này có giá trị sử dụng trong vòng 12 tháng kể từ ngày ký kết luận)
HƯỚNG DẪN CÁCH GHI ĐỐI VỚI MẪU GIẤY KHÁM SỨC KHỎE, SỔ KHÁM SỨC KHỎE ĐỊNH KỲ
1. Hướng dẫn ghi đối với mẫu giấy khám sức khỏe của người lái xe, người điều khiển xe máy chuyên dùng
(1) Số: ........./GKSKLX/Mã Cơ sở khám chữa bệnh/Năm: Ghi số giấy khám theo quy tắc 5 (năm) số thứ tự tăng dần/GKSKLX/Mã CSKCB/Năm XX (VD: 00001/GKSKLX/34001/24).
(2) Số CCCD/CC/Hộ chiếu/Định danh công dân: Ghi số Chứng minh nhân dân hoặc Căn cước công dân hoặc Căn cước hoặc Hộ chiếu hoặc số Định danh công dân.
(3) Đề nghị khám sức khỏe để lái xe hạng: Ghi rõ hạng giấy phép lái xe đề nghị và ghi rõ cấp đổi hoặc cấp mới hoặc cấp lại.
(4) Kết luận: Ghi rõ kết luận về tình trạng sức khỏe để lái xe theo một trong các trường hợp sau:
+ Đủ điều kiện sức khỏe lái xe/điều khiển xe máy chuyên dùng hạng (ghi rõ hạng giấy phép lái xe).
+ Không đủ điều kiện sức khỏe lái xe/điều khiển xe máy chuyên dùng hạng (ghi rõ hạng giấy phép lái xe).
+ Đạt tiêu chuẩn sức khỏe lái xe/điều khiển xe máy chuyên dùng hạng (ghi rõ hạng giấy phép lái xe) nhưng yêu cầu khám lại (ghi cụ thể thời gian khám lại).
+ Đủ điều kiện sức khỏe lái xe hạng A1 đối với người khuyết tật điều khiển xe mô tô ba bánh dùng cho người khuyết tật.
+ Đủ điều kiện sức khỏe lái xe hạng B đối với người khuyết tật điều khiển xe ô tô số tự động có kết cấu phù hợp với tình trạng khuyết tật.
2. Hướng dẫn ghi đối với mẫu sổ khám sức khỏe định kỳ của người lái xe ô tô ban hành kèm theo Thông tư liên tịch số 24/2015/TTLT-BYT-BGTVT
(1) Sau mục 9 Phần I. Khám lâm sàng: Ghi bổ sung
+ Mục 10: khám Răng - Hàm - Mặt;
+ Mục 11: khám Da liễu, Ngoại khoa.
(2) Phần III. Kết luận:
+ Ghi theo hướng dẫn tại phần (4) Kết luận tại Phụ lục II ban hành kèm theo Thông tư này.
+ Bổ sung mục ""Phân loại sức khỏe"""
