chapter_number,chapter_title,article_number,article_title,content
Chương I,QUY ĐỊNH CHUNG,1,Phạm vi điều chỉnh,"Nghị định này quy định chi tiết một số điều của Luật Trật tự, an toàn giao thông đường bộ số 36/2024/QH15, được sửa đổi, bổ sung bởi Luật sửa đổi, bổ sung một số điều của 10 Luật có liên quan đến an ninh, trật tự số 118/2025/QH15 về hoạt động đào tạo và sát hạch lái xe, gồm: hình thức đào tạo lái xe khác; điều kiện kinh doanh dịch vụ đào tạo lái xe ô tô của cơ sở đào tạo lái xe ô tô; tiêu chuẩn của giáo viên dạy lái xe; trình tự, thủ tục kiểm tra, đánh giá để cấp, cấp lại và thu hồi giấy chứng nhận giáo viên dạy thực hành lái xe; cấp, cấp lại và thu hồi giấy phép xe tập lái; cấp, cấp lại và thu hồi giấy phép đào tạo lái xe; điều kiện kinh doanh dịch vụ sát hạch lái xe của trung tâm sát hạch lái xe; trình tự, thủ tục kiểm tra, đánh giá để cấp, cấp lại và thu hồi giấy phép sát hạch; điều kiện sân tập lái để sát hạch lái xe mô tô; trình tự, thủ tục kiểm tra, đánh giá để cấp, cấp lại và thu hồi chấp thuận hoạt động của sân tập lái để sát hạch lái xe mô tô."
Chương I,QUY ĐỊNH CHUNG,2,Đối tượng áp dụng,"1. Nghị định này áp dụng đối với tổ chức, cá nhân liên quan đến hoạt động đào tạo lái xe và sát hạch lái xe tại Việt Nam.
2. Nghị định này không áp dụng đối với hoạt động đào tạo và sát hạch lái xe cho lực lượng quân đội, công an làm nhiệm vụ quốc phòng, an ninh."
Chương I,QUY ĐỊNH CHUNG,3,Giải thích từ ngữ,"1. Xe tập lái là xe ô tô dùng để đào tạo lái xe ô tô.
2. Xe sát hạch là xe mô tô, ô tô dùng để sát hạch lái xe.
3. Lưu lượng đào tạo là số lượng học viên lớn nhất mà cơ sở đào tạo lái xe được phép đào tạo tại một thời điểm, được xác định bằng tổng số học viên đào tạo các hạng giấy phép lái xe ô tô, bao gồm cả học viên học lý thuyết và thực hành tại thời điểm xác định lưu lượng đào tạo.
4. Trung tâm sát hạch lái xe được xây dựng đáp ứng điều kiện về cơ sở vật chất, đội ngũ nhân viên nghiệp vụ và phù hợp với Quy chuẩn kỹ thuật quốc gia về Trung tâm sát hạch lái xe cơ giới đường bộ và được phân loại như sau:
a) Trung tâm sát hạch lái xe loại 1: cung cấp dịch vụ để tổ chức sát hạch, cấp giấy phép lái xe các hạng A1, A, B1, B, C1, C, D1, D2, D và các hạng BE, C1E, CE, D1E, D2E, DE;
b) Trung tâm sát hạch lái xe loại 2: cung cấp dịch vụ để tổ chức sát hạch, cấp giấy phép lái xe các hạng A1, A, B1, B, C1, C và hạng D1;
c) Trung tâm sát hạch lái xe loại 3: cung cấp dịch vụ để tổ chức sát hạch, cấp giấy phép lái xe các hạng A1, A và B1.
5. Sân tập lái để sát hạch lái xe mô tô là cơ sở được xây dựng đáp ứng điều kiện về cơ sở vật chất, đội ngũ nhân viên nghiệp vụ và các yêu cầu kỹ thuật theo tiêu chuẩn kỹ thuật sân tập lái để sát hạch lái xe mô tô, cung cấp dịch vụ để tổ chức sát hạch lái xe mô tô và được phân loại như sau:
a) Sân loại 1: cung cấp dịch vụ để tổ chức sát hạch, cấp giấy phép lái xe các hạng A1, A, B1;
b) Sân loại 2: cung cấp dịch vụ để tổ chức sát hạch, cấp giấy phép lái xe các hạng A1, A;
c) Sân loại 3: cung cấp dịch vụ để tổ chức sát hạch, cấp giấy phép lái xe hạng A1.
6. Dữ liệu giám sát sát hạch: bao gồm dữ liệu về kết quả sát hạch và dữ liệu hình ảnh của hệ thống camera giám sát sát hạch.
7. Đào tạo từ xa, tự học có hướng dẫn là hình thức đào tạo không tập trung, người học chủ yếu tự học qua các học liệu (giáo trình, băng hình, ứng dụng đa phương tiện trên các thiết bị điện tử được thể hiện bằng việc sử dụng các thiết bị phương tiện nghe nhìn, phát thanh, truyền hình, các tổ hợp truyền thông đa phương tiện, mạng Internet) dưới sự tổ chức, trợ giúp của giáo viên, cơ sở đào tạo lái xe."
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,4,Hình thức tự học,"1. Tự học áp dụng đối với các môn học lý thuyết để cấp giấy phép lái xe các hạng A1, A và B1.
2. Người học phải đăng ký tại cơ sở được phép đào tạo để được quản lý theo quy định của Bộ Xây dựng."
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,5,"Hình thức đào tạo từ xa, tự học có hướng dẫn","1. Đào tạo từ xa, tự học có hướng dẫn áp dụng đối với các môn học pháp luật về giao thông đường bộ, đạo đức, văn hóa giao thông và phòng chống tác hại của rượu, bia khi tham gia giao thông và học lý thuyết của các môn: cấu tạo và sửa chữa thông thường; kỹ năng phòng cháy, chữa cháy và cứu nạn, cứu hộ; kỹ thuật lái xe để cấp giấy phép lái xe hạng B, C1, C, D1, D2, D, BE, C1E, CE, D1E, D2E và DE.
2. Người học phải đăng ký tại cơ sở được phép đào tạo để được quản lý theo quy định của Bộ Xây dựng.
Mục 2. ĐIỀU KIỆN KINH DOANH CỦA CƠ SỞ ĐÀO TẠO LÁI XE Ô TÔ"
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,6,Điều kiện chung,"1. Cơ sở đào tạo lái xe là loại hình doanh nghiệp hoặc hợp tác xã hoặc cơ sở giáo dục.
2. Nhân lực của cơ sở đào tạo
a) Người đứng đầu cơ sở đào tạo;
b) Các phòng hoặc bộ phận chuyên môn, nghiệp vụ;
c) Các tổ bộ môn;
d) Các đơn vị phục vụ đào tạo."
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,7,Người đứng đầu cơ sở đào tạo lái xe ô tô,Người đứng đầu cơ sở đào tạo lái xe ô tô phải có bằng tốt nghiệp cao đẳng trở lên.
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,8,Điều kiện về giáo viên,"1. Cơ sở đào tạo phải có đội ngũ giáo viên dạy lý thuyết, dạy thực hành đáp ứng tiêu chuẩn quy định tại Điều 10 của Nghị định này.
2. Cơ sở đào tạo phải có số lượng giáo viên dạy thực hành lái xe đáp ứng kế hoạch sử dụng các xe tập lái dùng để đào tạo."
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,9,Điều kiện về cơ sở vật chất kỹ thuật,"1. Hệ thống phòng học chuyên môn
a) Phòng sử dụng học lý thuyết: có các trang thiết bị làm công cụ hỗ trợ việc giảng dạy về các nội dung: pháp luật giao thông đường bộ, đạo đức người lái xe, văn hóa giao thông, phòng chống tác hại của rượu, bia khi tham gia giao thông và phòng chống cháy nổ và cứu nạn, cứu hộ; trường hợp, các thiết bị công nghệ thông tin chưa mô tả hệ thống báo hiệu đường bộ, sa hình, thì phải có hệ thống tranh vẽ;
b) Phòng sử dụng học kỹ thuật ô tô: bảo đảm diện tích không nhỏ hơn 1,50 m2/học viên, diện tích phòng học không nhỏ hơn 100 m2/phòng; có các thiết bị công nghệ thông tin làm công cụ hỗ trợ việc giảng dạy về cấu tạo, sửa chữa thông thường và kỹ thuật lái xe, kiến thức mới về nâng hạng; có mô hình cắt bổ động cơ, hệ thống truyền lực và hệ thống điện; có trang bị đồ nghề chuyên dùng để hướng dẫn học viên thực hành tháo lắp lốp, kiểm tra dầu xe, nước làm mát; có xe ô tô được kê kích bảo đảm an toàn để tập số nguội, số nóng; có cabin học lái xe. Trường hợp, các thiết bị công nghệ thông tin chưa có sơ đồ mô tả cấu tạo và nguyên lý hoạt động của động cơ, hệ thống truyền lực, hệ thống treo, hệ thống phanh, hệ thống lái, các thao tác lái xe cơ bản (điều chỉnh ghế lái, tư thế ngồi lái, vị trí cầm vô lăng lái...), thì phải có hệ thống tranh vẽ.
Trong trường hợp, mô hình cắt bổ động cơ, hệ thống truyền lực, hệ thống điện; khu vực hướng dẫn học viên thực hành tháo lắp lốp, kiểm tra dầu xe, nước làm mát; xe ô tô để tập số nguội, số nóng; cabin học lái xe ô tô được bố trí ở khu vực riêng biệt khác thì diện tích phòng học không nhỏ hơn 48 m2/phòng;
c) Hệ thống phòng học chuyên môn thuộc quyền sử dụng hợp pháp của cơ sở đào tạo lái xe; cơ sở đào tạo lái xe ô tô bố trí số lượng phòng sử dụng học lý thuyết và phòng sử dụng học kỹ thuật ô tô phù hợp với lưu lượng, hình thức và chương trình đào tạo; số lượng phòng học tính theo lưu lượng học viên; được xác định theo nguyên tắc 01 phòng sử dụng học lý thuyết và 01 phòng sử dụng học kỹ thuật ô tô đáp ứng tối đa lưu lượng 500 học viên.
2. Xe tập lái
a) Cơ sở đào tạo phải có xe tập lái đáp ứng việc đào tạo lái xe theo các hạng được phép đào tạo, thuộc quyền sử dụng hợp pháp của cơ sở đào tạo lái xe; được cơ quan có thẩm quyền cấp giấy phép xe tập lái; đối với đơn vị có dịch vụ đào tạo và trung tâm sát hạch lái xe, trong thời gian xe sát hạch không được sử dụng để phục vụ nhu cầu sát hạch và ôn luyện, được sử dụng làm xe tập lái;
b) Xe tập lái các hạng phải sử dụng các loại xe tương ứng với hạng giấy phép lái xe quy định tại khoản 1 Điều 57 Luật Trật tự, an toàn giao thông đường bộ. Trong đó: xe tập lái hạng B gồm xe sử dụng loại chuyển số tự động (bao gồm cả ô tô điện) hoặc chuyển số cơ khí (số sàn); xe tập lái hạng C1, C, D1, D2, D, BE, C1E, CE, D1E, D2E và DE sử dụng loại chuyển số cơ khí (số sàn);
c) Xe tập lái được gắn 02 biển “TẬP LÁI” trước và sau xe theo mẫu quy định tại Phụ lục I kèm theo Nghị định này; có hệ thống phanh phụ được lắp đặt bảo đảm hiệu quả phanh, được bố trí bên ghế ngồi của giáo viên dạy thực hành lái xe; xe tập lái trên đường giao thông có gắn cố định thiết bị giám sát thời gian và quãng đường học thực hành lái xe của học viên; trường hợp xe tập lái loại ô tô tải có chở học viên trên thùng xe phải có mui che mưa, che nắng, ghế ngồi cho học viên;
d) Xe mô tô ba bánh để làm xe tập lái cho người khuyết tật là xe mô tô ba bánh dùng cho người khuyết tật đã được cơ quan có thẩm quyền cấp giấy chứng nhận đăng ký xe và biển số xe;
đ) Xe ô tô hạng B dùng làm xe tập lái cho người khuyết tật là xe ô tô hạng B sử dụng loại chuyển số tự động (bao gồm cả ô tô điện) đáp ứng các quy định tại điểm a, điểm c khoản này; trường hợp người học khuyết tật bàn chân phải hoặc bàn tay phải hoặc bàn tay trái; xe tập lái còn phải có kết cấu phù hợp để các tay và chân còn lại của người khuyết tật vừa giữ được vô lăng lái, vừa dễ dàng điều khiển cần gạt tín hiệu báo rẽ, đèn chiếu sáng, cần gạt mưa, cần số, cần phanh tay, bàn đạp phanh chân, bàn đạp ga trong mọi tình huống khi lái xe theo đúng chức năng thiết kế của nhà sản xuất ô tô hoặc được cơ quan có thẩm quyền cấp giấy chứng nhận cải tạo xe cơ giới xác nhận hệ thống điều khiển của xe phù hợp để người khuyết tật lái xe an toàn.
3. Sân tập lái xe
a) Thuộc quyền sử dụng hợp pháp của cơ sở đào tạo lái xe; đối với đơn vị có dịch vụ đào tạo và trung tâm sát hạch lái xe, trong thời gian sân sát hạch không được sử dụng để phục vụ nhu cầu sát hạch và ôn luyện, được sử dụng làm sân tập lái;
b) Cơ sở đào tạo lái xe ô tô bố trí số lượng sân tập lái phù hợp với lưu lượng và chương trình đào tạo; số lượng sân tập lái tính theo lưu lượng học viên; được xác định theo nguyên tắc 01 sân tập lái ô tô đáp ứng tối đa lưu lư ợng 1.000 học viên;
c) Sân tập lái xe ô tô phải có đủ hệ thống biển báo hiệu đường bộ, bảo đảm diện tích để bố trí đủ các bài học theo nội dung chương trình đào tạo đối với các hạng xe dùng để đào tạo; việc bố trí hình và kích thước các bài tập lái xe ô tô tổng hợp theo Quy chuẩn kỹ thuật quốc gia về Trung tâm sát hạch lái xe cơ giới đường bộ đối với từng hạng xe tương ứng và phải được bó vỉa;
d) Mặt sân có cao độ và hệ thống thoát nước bảo đảm không bị ngập nước; bề mặt các làn đường và hình tập lái được thảm nhựa hoặc bê tông xi măng, có đủ vạch sơn kẻ đường.
4. Có hệ thống thiết bị và phần mềm ứng dụng định danh và xác thực điện tử để kết nối thông qua API tới các nền tảng số quốc gia có liên quan, bảo đảm việc nhận diện, định danh, xác thực và cung cấp giấy tờ điện tử của học viên từ khi đăng ký đào tạo đến khi đăng ký sát hạch lái xe.
Mục 3. TIÊU CHUẨN GIÁO VIÊN DẠY LÁI XE; THỦ TỤC CẤP, CẤP LẠI VÀ THU HỒI GIẤY CHỨNG NHẬN GIÁO VIÊN DẠY THỰC HÀNH LÁI XE, GIẤY PHÉP XE TẬP LÁI, GIẤY PHÉP ĐÀO TẠO LÁI XE Ô TÔ, GIẢI THỂ CƠ SỞ ĐÀO TẠO"
Chương II,HOẠT ĐỘNG ĐÀO TẠO LÁI XE,10,Tiêu chuẩn giáo viên dạy lái xe,"1. Giáo viên dạy lý thuyết đáp ứng các tiêu chuẩn sau:
a) Có bằng tốt nghiệp trung cấp trở lên một trong các chuyên ngành luật, công nghệ ô tô, công nghệ kỹ thuật ô tô, lắp ráp ô tô hoặc các ngành nghề khác có nội dung đào tạo chuyên ngành pháp luật hoặc ô tô chiếm 30% trở lên;
b) Có một trong các văn bằng, chứng chỉ về trình độ nghiệp vụ sư phạm sau:
Bằng cử nhân thuộc ngành đào tạo giáo viên trở lên; Bằng tốt nghiệp cao đẳng sư phạm, cao đẳng sư phạm kỹ thuật.
Chứng chỉ sư phạm dạy nghề dạy trình độ sơ cấp nghề; Chứng chỉ nghiệp vụ sư phạm dạy trình độ sơ cấp; Chứng chỉ bồi dưỡng sư phạm bậc 1 trở lên.
2. Giáo viên dạy thực hành lái xe đáp ứng các tiêu chuẩn sau:
a) Bằng tốt nghiệp trung cấp chuyên nghiệp hoặc trung cấp nghề hoặc bằng nghề trở lên;
b) Có giấy phép lái xe hạng tương ứng hoặc cao hơn hạng xe đào tạo;
c) Có một trong các văn bằng, chứng chỉ về trình độ nghiệp vụ sư phạm sau:
Bằng cử nhân thuộc ngành đào tạo giáo viên trở lên; Bằng tốt nghiệp cao đẳng sư phạm, cao đẳng sư phạm kỹ thuật.
Chứng chỉ sư phạm dạy nghề dạy trình độ sơ cấp nghề; Chứng chỉ nghiệp vụ sư phạm dạy trình độ sơ cấp; Chứng chỉ bồi dưỡng sư phạm bậc 1 trở lên;
d) Đã qua tập huấn về nghiệp vụ dạy thực hành lái xe theo chương trình khung quy định tại Phụ lục II kèm theo Nghị định này."
